title,sell_price,orlg_price,rating
Nokia 127 cm (50 inch) Ultra HD 4K LED Smart Android TV with Sound by Onkyo and Dolby Atmos,"₹32,999","₹54,990",4.4
SAMSUNG 7 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹59,999","₹69,900",5
Sansui 109 cm (43 inch) Full HD LED Smart Android TV with Voice Search Smart Remote (Midnight Black) (...,"₹19,999","₹33,990",4.2
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,"₹12,349","₹22,999",3.8
Hyundai 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹11,990","₹23,990",4.3
Hyundai 98 cm (39 inch) HD Ready LED Smart Android Based TV,"₹18,990","₹34,990",4.5
SAMSUNG The Frame 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹61,990","₹91,900",4.2
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
,,,
,,,
TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart VIDAA TV with ADS Panel,"₹17,990","₹31,990",4.3
MOTOROLA Revou 2 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹28,999","₹52,000",4.3
Blaupunkt 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹61,999","₹84,999",4.7
SONY Bravia 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹66,999","₹1,09,900",4.7
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
LG Nano Cell 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹58,990","₹94,990",4.4
TCL P615 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹51,990","₹1,19,990",4.4
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
LG UQ75 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹35,290","₹49,999",5
ONIDA 109 cm (43 inch) Ultra HD (4K) LED Smart VIDAA TV,"₹23,999","₹41,990",4.4
Coocaa Frameless 80 cm (32 inch) HD Ready LED Smart Google TV,"₹10,999","₹27,990",
Thomson 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,"₹40,999","₹59,999",4.7
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹90,990","₹1,44,900",4.2
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹45,990","₹69,900",4.3
Hyundai 109 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹25,490","₹57,990",4.2
Hyundai 126 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV,"₹30,990","₹77,990",4
SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹75,990","₹1,24,900",4.2
SAMSUNG The Frame 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹61,990","₹91,900",4.2
TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart VIDAA TV with Dolby Vision & ATMOS,"₹26,999","₹46,990",4.3
SAMSUNG 6 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹59,999","₹1,34,900",4.3
Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black) (...,"₹29,599","₹48,690",4.5
MOTOROLA ZX2 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹14,999","₹29,999",4.4
,,,
,,,
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.4
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,889","₹12,999",3.8
"Hisense A73F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...","₹44,990","₹59,990",4.5
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV,"₹7,499","₹19,000",4
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹46,990","₹70,900",4.4
Hyundai 60 cm (24 inch) HD Ready LED TV,"₹7,990","₹15,000",4.4
SAMSUNG 6 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,"₹59,999","₹1,34,900",4.3
Mi Q1 189.34 cm (75 inch) QLED Ultra HD (4K) Smart Android TV Full Array Local Dimming & 120Hz Refresh...,"₹1,29,999","₹1,99,999",4.4
Sansui 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,299","₹20,990",
