title,sell_price,orlg_price,rating
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹15,873","₹17,616",4.4
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹27,829","₹35,709",4.1
LG 408 L Frost Free Double Door Top Mount 2 Star Convertible Refrigerator,"₹39,990","₹55,199",
SAMSUNG 336 l Frost Free Double Door 2 Star Refrigerator,"₹36,590","₹46,990",4.4
BOSCH 658 L Frost Free Side by Side Refrigerator,"₹76,000","₹1,02,390",1
realme TechLife 631 L Frost Free Side by Side Refrigerator,"₹59,990","₹99,990",4.8
LG 679 L Frost Free Side by Side Refrigerator  with With Multi Air Flow,"₹87,990","₹98,990",4.5
SAMSUNG 244 L Frost Free Double Door 3 Star Convertible Refrigerator with Base Drawer  with Curd Maest...,"₹32,700","₹35,500",4.5
SAMSUNG 394 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹39,000","₹55,990",4.7
LG 190 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,119","₹22,299",
SAMSUNG 670 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹72,800","₹95,990",
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹24,490","₹33,299",4.3
LG 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,890","₹26,000",4.1
BOSCH 559 L Frost Free Double Door 2 Star Refrigerator,"₹68,490","₹93,490",4.4
Haier 192 L Direct Cool Single Door 2 Star Refrigerator,"₹12,240","₹18,700",4.3
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹27,440","₹30,990",4.2
,,,
,,,
Godrej 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,790","₹23,495",4.3
LG 235 L Direct Cool Single Door 5 Star Refrigerator,"₹22,790","₹29,899",
Whirlpool 292 L Frost Free Double Door 2 Star Refrigerator  with Glass Door,"₹28,400","₹32,650",4.4
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator,"₹20,936","₹20,990",4.4
LG 308 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹36,390","₹42,690",4.4
realme TechLife 338 L Frost Free Double Door 3 Star Refrigerator,"₹25,990","₹44,490",4.3
Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,"₹13,790","₹16,900",4.3
SAMSUNG 845 L Frost Free Side by Side Refrigerator,"₹93,690","₹1,36,990",4.3
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator,"₹15,990","₹19,700",4.3
LG 260 L Frost Free Double Door Top Mount 2 Star Refrigerator,"₹23,650","₹28,990",4.4
LG 201 L Frost Free Single Door 3 Star Refrigerator,"₹17,490","₹22,299",
LG 668 L Frost Free Side by Side Refrigerator  with with Instaview and Smart ThinQ(WiFi Enabled),"₹1,59,990","₹1,88,990",3.8
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹26,890","₹31,990",4.5
LG 260 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹28,990","₹43,399",3.8
LG 516 L Frost Free Double Door 3 Star Refrigerator  with with Hygiene Fresh+ and Smart ThinQ(WiFi Ena...,"₹62,790","₹75,990",4.5
Haier 258 L Frost Free Double Door 3 Star Refrigerator,"₹25,990","₹46,900",3.9
BOSCH 263 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹28,990","₹41,590",4.2
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹16,990","₹22,299",4.8
Haier 195 L Direct Cool Single Door 5 Star Refrigerator  with Mirror Glass Door,"₹20,399","₹24,990",4.4
LG 284 L Frost Free Double Door 2 Star Refrigerator,"₹27,185","₹33,490",4.2
LG 204 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with External Mi-Com,"₹20,990","₹27,269",5
SAMSUNG 551 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹60,200","₹75,990",
LG 190 L Direct Cool Single Door 2 Star Refrigerator,"₹13,969","₹21,995",
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹25,699","₹30,800",4.8
,,,
,,,
LG 308 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹30,770","₹43,899",4.5
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator,"₹17,590","₹22,300",4.4
LG 260 L Frost Free Double Door 2 Star Refrigerator,"₹28,399","₹30,268",
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,699","₹18,799",4.3
Godrej 192 L Direct Cool Single Door 4 Star Refrigerator,"₹15,290","₹19,100",4.3
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹28,100","₹29,990",4.6
Whirlpool 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Laminar Airflow,"₹16,990","₹22,800",4
LG 516 L Frost Free Double Door 3 Star Refrigerator,"₹61,500","₹75,990",
Hisense 564 L Frost Free Side by Side Inverter Technology Star Refrigerator  with Water Dispenser,"₹54,490","₹79,990",3.9
